INFO:     Started server process [31097]
INFO:     Waiting for application startup.
INFO:     Application startup complete.
INFO:     Uvicorn running on http://0.0.0.0:8000 (Press CTRL+C to quit)
2026-09-05 16:01:59 | ERROR    | engine.execution.binance_executor | POST https://api4.binance.com/api/v3/order?newClientOrderId=AQ_1788624108065_0aa348&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=BTCUSDT&timestamp=1788624108325&type=MARKET&signature=01a983b4e38236b79d7b8faa99e84f49b6901e0876605343febbc36a13e95dbd attempt 5 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:01:59 | ERROR    | engine.trader             | Order failed for BTCUSDT: {'error': 'Max retries exceeded', 'last_error': {'exception': "('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))", 'type': 'ConnectionError'}}
2026-09-05 16:02:20 | ERROR    | engine.execution.binance_executor | POST https://api.binance.com/api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e attempt 1 exception: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e (Caused by ConnectTimeoutError(<HTTPSConnection(host='api.binance.com', port=443) at 0x724c58be90>, 'Connection to api.binance.com timed out. (connect timeout=10)'))
2026-09-05 16:02:20 | ERROR    | engine.execution.binance_executor | POST https://api1.binance.com/api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e attempt 2 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
INFO:     127.0.0.1:43800 - "GET /api/status HTTP/1.1" 401 Unauthorized
2026-09-05 16:02:31 | ERROR    | engine.execution.binance_executor | POST https://api2.binance.com/api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e attempt 3 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:31 | ERROR    | engine.execution.binance_executor | POST https://api3.binance.com/api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e attempt 4 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
INFO:     127.0.0.1:43822 - "GET /api/status HTTP/1.1" 401 Unauthorized
2026-09-05 16:02:43 | ERROR    | engine.execution.binance_executor | GET https://api.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624160480&signature=3f1d1ecda0bd16987a3bc8561df29f4126d2f531a8a18ddadf1feca3b4083a51 attempt 1 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:46 | ERROR    | engine.execution.binance_executor | GET https://api1.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624160480&signature=3f1d1ecda0bd16987a3bc8561df29f4126d2f531a8a18ddadf1feca3b4083a51 attempt 2 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:51 | ERROR    | engine.execution.binance_executor | POST https://api4.binance.com/api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e attempt 5 exception: HTTPSConnectionPool(host='api4.binance.com', port=443): Max retries exceeded with url: /api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e (Caused by ConnectTimeoutError(<HTTPSConnection(host='api4.binance.com', port=443) at 0x724c4eee10>, 'Connection to api4.binance.com timed out. (connect timeout=10)'))
2026-09-05 16:02:51 | ERROR    | engine.trader             | Order failed for ETHUSDT: {'error': 'Max retries exceeded', 'last_error': {'exception': "HTTPSConnectionPool(host='api4.binance.com', port=443): Max retries exceeded with url: /api/v3/order?newClientOrderId=AQ_1788624119991_3eaddc&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=ETHUSDT&timestamp=1788624120251&type=MARKET&signature=8bf7b8162e1c4f44b647aa36c6893460752322dccc7ce945298bdcd09a2e760e (Caused by ConnectTimeoutError(<HTTPSConnection(host='api4.binance.com', port=443) at 0x724c4eee10>, 'Connection to api4.binance.com timed out. (connect timeout=10)'))", 'type': 'ConnectTimeout'}}
2026-09-05 16:02:54 | ERROR    | engine.execution.binance_executor | GET https://api2.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624160480&signature=3f1d1ecda0bd16987a3bc8561df29f4126d2f531a8a18ddadf1feca3b4083a51 attempt 3 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:54 | ERROR    | engine.execution.binance_executor | GET https://api3.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624160480&signature=3f1d1ecda0bd16987a3bc8561df29f4126d2f531a8a18ddadf1feca3b4083a51 attempt 4 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:54 | ERROR    | engine.execution.binance_executor | GET https://api4.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624160480&signature=3f1d1ecda0bd16987a3bc8561df29f4126d2f531a8a18ddadf1feca3b4083a51 attempt 5 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:02:54 | ERROR    | engine.execution.binance_executor | get_account_balances failed (500): {'error': 'Max retries exceeded', 'last_error': {'exception': "('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))", 'type': 'ConnectionError'}}
2026-09-05 16:03:02 | ERROR    | engine.execution.binance_executor | POST https://api.binance.com/api/v3/order?newClientOrderId=AQ_1788624171725_08707e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=SOLUSDT&timestamp=1788624171985&type=MARKET&signature=3a94ddbf6bf9a520f0fae8b76995eb4ebd5b5375451cc2a65dfeb3d87fef3c3d attempt 1 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:07 | ERROR    | engine.execution.binance_executor | GET https://api.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624174905&signature=c5b3df9fc310b4f2c0934f400543259ff21800c7acebab2255310204462a0f10 attempt 1 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:09 | ERROR    | engine.execution.binance_executor | GET https://api1.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624174905&signature=c5b3df9fc310b4f2c0934f400543259ff21800c7acebab2255310204462a0f10 attempt 2 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:10 | ERROR    | engine.execution.binance_executor | GET https://api2.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624174905&signature=c5b3df9fc310b4f2c0934f400543259ff21800c7acebab2255310204462a0f10 attempt 3 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:16 | ERROR    | engine.execution.binance_executor | POST https://api1.binance.com/api/v3/order?newClientOrderId=AQ_1788624171725_08707e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=SOLUSDT&timestamp=1788624171985&type=MARKET&signature=3a94ddbf6bf9a520f0fae8b76995eb4ebd5b5375451cc2a65dfeb3d87fef3c3d attempt 2 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:16 | ERROR    | engine.execution.binance_executor | POST https://api2.binance.com/api/v3/order?newClientOrderId=AQ_1788624171725_08707e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=SOLUSDT&timestamp=1788624171985&type=MARKET&signature=3a94ddbf6bf9a520f0fae8b76995eb4ebd5b5375451cc2a65dfeb3d87fef3c3d attempt 3 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:17 | ERROR    | engine.execution.binance_executor | GET https://api3.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624174905&signature=c5b3df9fc310b4f2c0934f400543259ff21800c7acebab2255310204462a0f10 attempt 4 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:18 | ERROR    | engine.execution.binance_executor | GET https://api.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 attempt 1 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:19 | ERROR    | engine.execution.binance_executor | GET https://api1.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 attempt 2 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:20 | ERROR    | engine.execution.binance_executor | GET https://api4.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624174905&signature=c5b3df9fc310b4f2c0934f400543259ff21800c7acebab2255310204462a0f10 attempt 5 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:20 | ERROR    | engine.execution.binance_executor | get_account_balances failed (500): {'error': 'Max retries exceeded', 'last_error': {'exception': "('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))", 'type': 'ConnectionError'}}
2026-09-05 16:03:21 | ERROR    | engine.execution.binance_executor | GET https://api2.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 attempt 3 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:23 | ERROR    | engine.execution.binance_executor | GET https://api3.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 attempt 4 exception: HTTPSConnectionPool(host='api3.binance.com', port=443): Max retries exceeded with url: /api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api3.binance.com'. (_ssl.c:992)")))
2026-09-05 16:03:23 | ERROR    | engine.execution.binance_executor | GET https://api4.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624195672&signature=fca1d874c6951929e1c790ac9e9ae633f2a36f3163c8a4a70b6b7e78cbda2b09 attempt 5 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:23 | ERROR    | engine.execution.binance_executor | get_account_balances failed (500): {'error': 'Max retries exceeded', 'last_error': {'exception': "('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))", 'type': 'ConnectionError'}}
2026-09-05 16:03:25 | ERROR    | engine.execution.binance_executor | GET https://fapi.binance.com/fapi/v2/account?recvWindow=60000&timestamp=1788624202491&signature=d2bbe1a677fb98395ee71a436fdb111908ce961b275f1946aa62c139155561a5 attempt 1 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:26 | ERROR    | engine.execution.binance_executor | POST https://api3.binance.com/api/v3/order?newClientOrderId=AQ_1788624171725_08707e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=SOLUSDT&timestamp=1788624171985&type=MARKET&signature=3a94ddbf6bf9a520f0fae8b76995eb4ebd5b5375451cc2a65dfeb3d87fef3c3d attempt 4 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:27 | ERROR    | engine.execution.binance_executor | POST https://api4.binance.com/api/v3/order?newClientOrderId=AQ_1788624171725_08707e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=SOLUSDT&timestamp=1788624171985&type=MARKET&signature=3a94ddbf6bf9a520f0fae8b76995eb4ebd5b5375451cc2a65dfeb3d87fef3c3d attempt 5 exception: ('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))
2026-09-05 16:03:27 | ERROR    | engine.trader             | Order failed for SOLUSDT: {'error': 'Max retries exceeded', 'last_error': {'exception': "('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))", 'type': 'ConnectionError'}}
2026-09-05 16:03:36 | ERROR    | engine.execution.binance_executor | GET https://api.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 attempt 1 exception: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.binance.com'. (_ssl.c:992)")))
2026-09-05 16:03:36 | ERROR    | engine.execution.binance_executor | GET https://api1.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 attempt 2 exception: HTTPSConnectionPool(host='api1.binance.com', port=443): Max retries exceeded with url: /api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api1.binance.com'. (_ssl.c:992)")))
2026-09-05 16:03:38 | ERROR    | engine.execution.binance_executor | GET https://api2.binance.com/api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 attempt 3 exception: HTTPSConnectionPool(host='api2.binance.com', port=443): Max retries exceeded with url: /api/v3/account?recvWindow=60000&timestamp=1788624203485&signature=88b6dde1ded2404853377f2803507abb9869cf2b8711c20dd2f179b81a993ab9 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api2.binance.com'. (_ssl.c:992)")))
2026-09-05 16:03:38 | ERROR    | engine.execution.binance_executor | POST https://api.binance.com/api/v3/order?newClientOrderId=AQ_1788624207889_17812e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=BNBUSDT&timestamp=1788624208149&type=MARKET&signature=b50f09c7a274405eb2cd66c0a9d4da6cd2f0b90742d3b154e053a8aad8a26464 attempt 1 exception: HTTPSConnectionPool(host='api.binance.com', port=443): Max retries exceeded with url: /api/v3/order?newClientOrderId=AQ_1788624207889_17812e&quoteOrderQty=250.0&recvWindow=60000&side=BUY&symbol=BNBUSDT&timestamp=1788624208149&type=MARKET&signature=b50f09c7a274405eb2cd66c0a9d4da6cd2f0b90742d3b154e053a8aad8a26464 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'api.binance.com'. (_ssl.c:992)")))
2026-09-05 16:03:38 | ERROR    | engine.execution.binance_executor | GET https://fapi.binance.com/fapi/v2/account?recvWindow=60000&timestamp=1788624202491&signature=d2bbe1a677fb98395ee71a436fdb111908ce961b275f1946aa62c139155561a5 attempt 2 exception: HTTPSConnectionPool(host='fapi.binance.com', port=443): Max retries exceeded with url: /fapi/v2/account?recvWindow=60000&timestamp=1788624202491&signature=d2bbe1a677fb98395ee71a436fdb111908ce961b275f1946aa62c139155561a5 (Caused by SSLError(SSLCertVerificationError(1, "[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Hostname mismatch, certificate is not valid for 'fapi.binance.com'. (_ssl.c:992)")))
